timestamp,marker_id,x,y,theta
1780927060.819,1,373,296,-86.8
1780927060.819,0,130,299,-90.0
1780927060.869,1,373,296,-86.8
1780927060.869,0,130,299,-90.0
1780927060.885,1,373,296,-86.8
1780927060.885,0,130,299,-90.0
1780927060.928,1,373,296,-86.8
1780927060.928,0,130,299,-90.0
1780927060.976,1,373,296,-86.8
1780927060.976,0,130,299,-90.0
1780927061.008,1,373,296,-86.8
1780927061.008,0,130,299,-90.0
1780927061.051,1,373,296,-86.8
1780927061.051,0,130,299,-90.0
1780927061.099,1,373,296,-86.8
1780927061.099,0,130,299,-90.0
1780927061.131,1,373,296,-86.8
1780927061.131,0,130,299,-90.0
1780927061.177,1,373,296,-86.8
1780927061.177,0,130,299,-90.0
1780927061.223,1,373,296,-86.8
1780927061.223,0,130,299,-90.0
1780927061.254,1,373,296,-86.8
1780927061.254,0,130,299,-90.0
1780927061.302,1,373,296,-86.8
1780927061.302,0,130,299,-90.0
1780927061.350,1,373,296,-86.8
1780927061.350,0,130,299,-90.0
1780927061.380,1,373,296,-86.8
1780927061.380,0,130,299,-90.0
1780927061.427,1,373,296,-86.8
1780927061.427,0,130,299,-90.0
1780927061.474,1,373,296,-86.8
1780927061.474,0,130,299,-90.0
1780927061.506,1,373,296,-86.8
1780927061.506,0,130,299,-90.0
1780927061.552,1,373,296,-86.8
1780927061.552,0,130,299,-90.0
1780927061.599,1,373,296,-86.8
1780927061.599,0,130,299,-90.0
1780927061.629,1,373,296,-86.8
1780927061.629,0,130,299,-90.0
1780927061.674,1,373,296,-86.8
1780927061.674,0,130,299,-90.0
1780927061.724,1,373,296,-86.8
1780927061.724,0,130,299,-90.0
1780927061.756,1,373,296,-86.8
1780927061.756,0,130,299,-90.0
1780927061.801,1,373,296,-86.8
1780927061.801,0,130,299,-90.0
1780927061.848,1,373,296,-86.8
1780927061.848,0,130,299,-90.0
1780927061.880,1,373,296,-86.8
1780927061.880,0,130,299,-90.0
1780927061.927,1,373,296,-86.8
1780927061.927,0,130,299,-90.0
1780927061.971,1,373,296,-86.8
1780927061.971,0,130,299,-90.0
1780927062.003,1,373,296,-86.8
1780927062.003,0,130,299,-90.0
1780927062.048,1,373,296,-86.8
1780927062.048,0,130,299,-90.0
1780927062.094,1,373,296,-86.8
1780927062.094,0,130,299,-90.0
1780927062.125,1,373,296,-86.8
1780927062.125,0,130,299,-90.0
1780927062.174,1,373,296,-86.8
1780927062.174,0,130,299,-90.0
1780927062.218,1,373,296,-86.8
1780927062.218,0,130,299,-90.0
1780927062.265,1,373,296,-86.8
1780927062.265,0,130,299,-90.0
1780927062.296,1,373,296,-86.8
1780927062.296,0,130,299,-90.0
1780927062.343,1,373,296,-86.8
1780927062.343,0,130,299,-90.0
1780927062.390,1,373,296,-86.8
1780927062.390,0,130,299,-90.0
1780927062.419,1,373,296,-86.8
1780927062.419,0,130,299,-90.0
1780927062.462,1,373,296,-86.8
1780927062.462,0,130,299,-90.0
1780927062.513,1,373,296,-86.8
1780927062.513,0,130,299,-90.0
1780927062.542,1,373,296,-86.8
1780927062.542,0,130,299,-90.0
1780927062.588,1,373,296,-86.8
1780927062.588,0,130,299,-88.9
1780927062.637,1,373,296,-86.8
1780927062.637,0,130,299,-88.9
1780927062.669,1,373,296,-86.8
1780927062.669,0,130,299,-90.0
1780927062.713,1,373,296,-86.8
1780927062.713,0,130,299,-90.0
1780927062.762,1,373,296,-86.8
1780927062.762,0,130,299,-90.0
1780927062.794,1,373,296,-86.8
1780927062.794,0,130,299,-90.0
1780927062.839,1,373,296,-86.8
1780927062.839,0,130,299,-90.0
1780927062.885,1,373,296,-86.8
1780927062.885,0,130,299,-90.0
1780927062.930,1,373,296,-86.8
1780927062.930,0,130,299,-90.0
1780927062.961,1,373,296,-86.8
1780927062.961,0,130,299,-90.0
1780927063.007,1,373,296,-86.8
1780927063.007,0,130,299,-90.0
1780927063.057,1,373,296,-86.8
1780927063.057,0,130,299,-90.0
1780927063.087,1,373,296,-86.8
1780927063.087,0,130,299,-90.0
1780927063.132,1,373,296,-86.8
1780927063.132,0,130,299,-90.0
1780927063.181,1,373,296,-86.8
1780927063.181,0,130,299,-90.0
1780927063.212,1,373,296,-86.8
1780927063.212,0,130,299,-90.0
1780927063.259,1,373,296,-86.8
1780927063.259,0,130,299,-90.0
1780927063.308,1,373,296,-86.8
1780927063.308,0,130,299,-90.0
1780927063.337,1,373,296,-86.8
1780927063.337,0,130,299,-90.0
1780927063.382,1,373,296,-86.8
1780927063.382,0,130,299,-90.0
1780927063.430,1,373,296,-86.8
1780927063.430,0,130,299,-90.0
1780927063.458,1,373,296,-86.8
1780927063.458,0,130,299,-90.0
1780927063.507,1,373,296,-86.8
1780927063.507,0,130,299,-90.0
1780927063.555,1,373,296,-86.8
1780927063.555,0,130,299,-90.0
1780927063.583,1,373,296,-86.8
1780927063.583,0,130,299,-90.0
1780927063.630,1,373,296,-86.8
1780927063.630,0,130,299,-90.0
1780927063.678,1,373,296,-86.8
1780927063.678,0,130,299,-90.0
1780927063.724,1,373,296,-86.8
1780927063.724,0,130,299,-90.0
1780927063.756,1,373,296,-86.9
1780927063.756,0,130,299,-90.0
1780927063.802,1,373,297,-86.9
1780927063.802,0,129,300,-88.9
1780927063.850,1,373,298,-86.9
1780927063.850,0,130,301,-90.0
1780927063.879,1,373,300,-86.8
1780927063.879,0,129,303,-88.9
1780927063.927,1,373,301,-86.9
1780927063.927,0,129,304,-88.9
1780927063.973,1,373,303,-86.9
1780927063.973,0,129,305,-88.9
1780927064.004,1,373,305,-86.8
1780927064.004,0,129,307,-88.9
1780927064.051,1,373,307,-86.8
1780927064.051,0,129,309,-90.0
1780927064.099,1,373,309,-86.8
1780927064.099,0,129,311,-90.0
1780927064.130,1,373,311,-86.8
1780927064.130,0,129,312,-91.1
1780927064.178,1,373,313,-86.8
1780927064.178,0,129,314,-91.1
1780927064.226,1,373,315,-86.9
1780927064.226,0,128,316,-90.0
1780927064.254,1,373,317,-86.9
1780927064.254,0,128,318,-90.0
1780927064.301,1,373,319,-86.9
1780927064.301,0,128,320,-90.0
1780927064.349,1,373,322,-86.9
1780927064.349,0,128,323,-90.0
1780927064.378,1,373,324,-86.9
1780927064.378,0,128,325,-92.2
1780927064.427,1,373,326,-86.9
1780927064.427,0,127,326,-90.0
1780927064.472,1,373,328,-88.0
1780927064.472,0,127,328,-90.0
1780927064.504,1,373,330,-88.0
1780927064.504,0,127,330,-90.0
1780927064.551,1,373,333,-87.9
1780927064.551,0,127,332,-90.0
1780927064.597,1,373,335,-88.0
1780927064.597,0,127,334,-92.2
1780927064.642,1,373,337,-88.0
1780927064.642,0,127,337,-92.2
1780927064.673,1,373,339,-88.0
1780927064.673,0,126,339,-90.0
1780927064.719,1,373,341,-88.0
1780927064.719,0,126,340,-90.0
1780927064.764,1,373,344,-88.0
1780927064.764,0,126,343,-91.1
1780927064.797,1,373,346,-88.0
1780927064.797,0,126,345,-91.1
1780927064.846,1,373,349,-88.0
1780927064.846,0,125,347,-90.0
1780927064.891,1,373,351,-88.0
1780927064.891,0,125,349,-90.0
1780927064.920,1,373,353,-88.0
1780927064.920,0,125,351,-92.2
1780927064.971,1,373,355,-88.1
1780927064.971,0,125,353,-92.2
1780927065.014,1,373,358,-88.0
1780927065.014,0,125,355,-92.2
1780927065.046,1,373,360,-88.1
1780927065.046,0,124,357,-90.0
1780927065.096,1,373,362,-88.1
1780927065.096,0,124,360,-92.2
1780927065.140,1,373,364,-88.1
1780927065.140,0,124,362,-92.2
1780927065.172,1,373,367,-88.1
1780927065.172,0,124,364,-92.2
1780927065.219,1,373,369,-88.1
1780927065.219,0,123,366,-91.1
1780927065.264,1,373,371,-88.1
1780927065.264,0,123,368,-92.2
1780927065.293,1,373,374,-89.0
1780927065.293,0,123,370,-92.2
1780927065.343,1,373,376,-89.0
1780927065.343,0,122,372,-91.1
1780927065.389,1,373,379,-90.0
1780927065.389,0,122,374,-92.2
1780927065.420,1,372,381,-89.0
1780927065.420,0,122,376,-92.2
1780927065.469,1,372,384,-90.0
1780927065.469,0,122,378,-92.2
1780927065.512,1,372,386,-92.9
1780927065.512,0,121,379,-91.1
1780927065.542,1,371,388,-91.9
1780927065.542,0,121,380,-91.1
1780927065.591,1,371,389,-93.8
1780927065.591,0,121,380,-91.1
1780927065.638,1,370,390,-93.8
1780927065.638,0,121,381,-91.1
1780927065.668,1,370,390,-93.8
1780927065.668,0,121,381,-91.1
1780927065.715,1,370,391,-95.7
1780927065.715,0,121,380,-91.0
1780927065.761,1,370,391,-95.7
